Расписание БГПУ им. М. Акмуллы ИПОиИТ ПИП 31-13;;;;;;;;;
День Недели;Пара;Время;Учебные недели;Четность;Подгруппа;Дисциплина;Место проведения;Преподователь;Тип занянития
Понедельник;1;8:30-10:05;20..25;0;0;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/к
;;;27..35;0;0;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;п/з
;;;38;0;1;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;21..34;0;1;Психология управления;ауд. 306;Биктагирова А.Р.;л/б
;;;38;0;2;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;35;0;1;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;20..31;0;0;Психология управления;ауд. 306;Биктагирова А.Р.;л/к
;;;33..38;0;1;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;32..33;0;2;Психология управления;ауд. 306;Биктагирова А.Р.;л/б
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;33..34;0;1;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;21..32;0;2;Психология управления;ауд. 306;Биктагирова А.Р.;л/б
;;;35..38;0;2;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Вторник;1;8:30-10:05;20..29;0;0;Современные программно-технические средства, информационные продукты и услуги;ауд. 212;Жилко Е.П.;л/к
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;2;10:15-11:50;20..38;0;0;Современные программно-технические средства, информационные продукты и услуги;ауд. 212;Жилко Е.П.;п/з
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;3;12:20-13:55;20..29;0;0;Вычислительные системы, сети и телекоммуникации;ауд. 213;Зиангирова Л.Ф.;л/к
;;;30..37;0;0;Вычислительные системы, сети и телекоммуникации;ауд. 213;Зиангирова Л.Ф.;п/з
;;;38;0;1;Вычислительные системы, сети и телекоммуникации;ауд. 213;Зиангирова Л.Ф.;л/б
;;;;;;;;;
;;;;;;;;;
;4;14:05-15:40;20..36;0;1;Вычислительные системы, сети и телекоммуникации;ауд. 306;Зиангирова Л.Ф.;л/б
;;;21..35;0;2;Вычислительные системы, сети и телекоммуникации;ауд. 306;Зиангирова Л.Ф.;л/б
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;5;16:00-17:35;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;6;17:45-19:20;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;7;19:30-21:00;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Среда;1;8:30-10:05;21..22;0;0;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;п/з
;;;23..37;1;1;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;24..38;2;2;Проектирование информационных систем;ауд. 208;Забихуллин Ф.З.;л/б
;;;;;;;;;
